D70,Rrup,Mw,Vs30,zh,
18.89555239,85.89940439,6.1,243.39799,1,1
22.09498586,79.4391103,6.1,363.31973,2,1
13.20340865,68.68315941,6.1,206.55794,3,1
10.03354374,49.13109787,6.1,336.31079,4,1
7.450691243,41.22424243,6.1,480.68826,5,1
13.8313846,53.04433537,6.1,243.66833,6,1
10.50279963,56.80834063,6.1,248.68715,7,1
27.37998356,78.81598153,6.1,127.1408,8,1
16.07080583,65.0173896,6.1,131.13963,9,1
5.384477691,41.61656253,6.1,245.74942,10,1
13.85571362,51.83552703,6.1,275.56555,11,1
12.94906946,58.70999868,6.1,290.70941,12,1
14.6388934,71.42686518,6.1,185.37057,13,1
26.69493585,84.13129931,6.1,171.66423,14,1
11.78433706,61.73543883,6.1,166.97049,15,1
19.70505519,77.31592145,6.1,255.86218,16,1
11.8751,74.28284179,6.1,389.23804,17,1
28.13248656,103.0227158,6.1,144.11224,18,1
19.17028951,87.29736106,6.1,165.19353,19,1
18.05889255,90.784659,6.1,307.31921,20,1
22.82311986,66.37099102,6.1,215.21594,21,1
13.72706815,124.5912558,6.1,228.0233,22,1
13.78956127,113.7285911,6.1,432.8886,23,1
14.06999645,102.5326584,6.1,274.5092,24,1
14.5824415,99.55655595,6.1,333.0297,25,1
13.73901743,92.01696216,6.1,265.5409,26,1
11.46471543,80.24008058,6.1,307.42,27,1
17.28428766,90.71753889,6.1,203.2111,28,1
18.32349312,79.90296305,6.1,238.2027,29,1
21.98468103,74.66671572,6.1,246.7284,30,1
15.03125078,65.63063006,6.1,274.122,31,1
20.58880764,71.15303406,6.1,270.7708,32,1
23.51642617,88.08382491,6.1,218.1334,33,1
15.21474285,72.18601728,6.1,281.2124,34,1
12.13202374,58.46457397,6.1,258.5682,35,1
11.05024887,50.22864636,6.1,291.7127,36,1
15.76713037,95.15546761,6.1,136.088,37,1
18.85462808,102.8052518,6.1,119.6667,38,1
20.08527819,113.0431313,6.1,458.2165,39,1
31.14972873,146.1703796,6.1,99.70285,40,1
45.80951866,102.8698323,6.1,89.19601,41,1
27.48832479,95.12939828,6.1,156.3224,42,1
28.53307554,101.0582284,6.1,146.4362,43,1
25.94779759,93.51494683,6.1,120.869,44,1
23.46418974,174.1476313,6.1,199.3158,45,1
23.96143568,143.9488965,6.1,256.9584,46,1
16.07843276,105.4431053,6.1,363.2759,47,1
19.79924999,108.1274562,6.1,421.7628,48,1
24.04646752,127.9188268,6.1,253.933,49,1
25.26699032,118.2986363,6.1,321.4917,50,1
25.23350154,95.39574041,6.1,293.7617,51,1
22.29418086,106.2368938,6.2,144.11224,52,2
10.7940076,76.93283179,6.2,309.6915,53,2
11.09797279,61.97106975,6.2,199.3158,54,2
13.66525887,54.24100405,6.2,486.1633,55,2
14.92315315,65.36796317,6.2,211.9324,56,2
10.08967789,100.2805578,6.2,302.2495,57,2
16.77331214,58.9644653,6.2,430.6437,58,2
23.22407156,50.42430123,6.2,298.2384,59,2
4.440472948,16.53683669,6.2,264.1159,60,2
6.454905112,25.87832845,6.2,328.346,61,2
12.5299162,107.9152154,6,119.6667,62,3
4.201785335,93.52401893,6,458.2165,63,3
5.892495227,103.7011676,6,138.1374,64,3
19.37389997,84.32885687,6,99.70285,65,3
9.092876333,72.19516958,6,399.9957,66,3
9.980656291,52.97753643,6,309.6915,67,3
7.757254669,38.84098058,6,199.3158,68,3
5.919932432,38.55008143,6,486.1633,69,3
5.138170881,47.98909445,6,211.9324,70,3
8.786990384,59.65163532,6,576.5403,71,3
8.31239436,89.19367354,6,130.5803,72,3
7.05475726,89.24081534,6,224.2975,73,3
7.448462929,91.13676819,6,302.2495,74,3
3.788535337,141.7607439,6,253.933,75,3
7.18657081,118.8579862,6,278.458,76,3
5.933464418,34.05789434,6,430.6437,77,3
6.511036784,26.2979408,6,298.2384,78,3
8.84968361,34.61437632,6,328.346,79,3
12.76079543,131.6092844,5.2,346.2746,80,4
8.474048619,96.15163924,5.2,399.9957,81,4
15.49805149,96.98892704,5.2,309.6915,82,4
15.74379243,95.01690321,5.2,199.3158,83,4
8.841357362,82.92609532,5.2,486.1633,84,4
6.18978998,75.30253343,5.2,211.9324,85,4
3.806849091,71.71222465,5.2,576.5403,86,4
7.105554166,83.65425246,5.2,459.312,87,4
13.36688445,77.6109502,5.2,360.4274,88,4
10.55761337,62.66112511,5.2,323.0094,89,4
5.419077412,59.261448,5.2,369.3285,90,4
4.069643719,47.51968053,5.2,130.5803,91,4
9.21,47.87762897,5.2,529.2412,92,4
5.149097008,41.11313496,5.2,224.2975,93,4
6.1193382,51.89877021,5.2,308.4477,94,4
4.440833255,45.00414895,5.2,302.2495,95,4
4.716608951,34.87099675,5.2,662.6323,96,4
7.771891662,143.3641375,5.2,253.933,97,4
8.068742157,107.7521914,5.2,303.7069,98,4
12.01199401,89.01710603,5.2,455.1924,99,4
7.298328576,101.8872667,5.2,384.4722,100,4
8.187795796,76.80727869,5.2,420.9702,101,4
6.587252842,56.00982801,5.2,403.4972,102,4
12.9149758,61.92402711,5.2,526.4553,103,4
8.993464294,72.16009894,5.2,260.7138,104,4
3.650273962,51.74163758,5.2,243.39799,105,5
10.3316504,50.59959158,5.2,363.31973,106,5
8.119039352,47.77597186,5.2,206.55794,107,5
11.75384193,59.68904395,5.2,336.31079,108,5
10.39269455,52.01395626,5.2,243.66833,109,5
12.34724261,51.2880324,5.2,248.68715,110,5
8.355237878,55.20245784,5.2,127.1408,111,5
14.45394064,55.15688711,5.2,131.13963,112,5
10.48347271,66.57281083,5.2,245.74942,113,5
15.75328537,61.53984064,5.2,275.56555,114,5
13.17451327,64.0509209,5.2,185.37057,115,5
16.15801968,73.82393603,5.2,171.66423,116,5
9.763216683,80.50771371,5.2,307.31921,117,5
8.564227928,53.72409144,5.2,215.21594,118,5
16.76493961,135.0642383,5.2,584.48499,119,5
12.90478206,102.5262562,5.2,416.52783,120,5
12.61899362,79.58572206,5.2,278.27405,121,5
10.22927172,93.11250115,5.2,274.86993,122,5
15.72835338,113.8374466,5.2,228.0233,123,5
3.945985302,118.2283274,5.2,432.8886,124,5
17.08662635,105.7888998,5.2,274.5092,125,5
6.307091247,91.71751722,5.2,333.0297,126,5
5.125797499,75.42432812,5.2,265.5409,127,5
11.74829775,79.97330222,5.2,420.4355,128,5
10.47213445,84.90831178,5.2,307.42,129,5
9.972853152,68.24813268,5.2,522.9963,130,5
6.733839915,59.64144409,5.2,203.2111,131,5
4.011583229,54.98184966,5.2,238.2027,132,5
5.064770479,61.78535228,5.2,246.7284,133,5
9.021973177,67.65433434,5.2,274.122,134,5
8.07105941,53.13916767,5.2,270.7708,135,5
8.551111039,54.43118316,5.2,218.1334,136,5
6.115423125,47.35299506,5.2,281.2124,137,5
9.884492906,52.4125796,5.2,258.5682,138,5
10.5894523,69.24014166,5.2,291.7127,139,5
11.07079943,69.26835178,5.2,136.088,140,5
12.89356429,78.50138925,5.2,119.6667,141,5
