D70,r,m,v,,
18.89555239,0.680977785,-0.085714286,0.024039586,1,1
22.09498586,0.651464236,-0.085714286,0.283230671,2,1
13.20340865,0.596546127,-0.085714286,-0.082149165,3,1
10.03354374,0.470086415,-0.085714286,0.233249123,4,1
7.450691243,0.403851915,-0.085714286,0.464357724,5,1
13.8313846,0.499014802,-0.085714286,0.024757839,6,1
10.50279963,0.524892858,-0.085714286,0.0379493,7,1
27.37998356,0.648491582,-0.085714286,-0.396144089,8,1
16.07080583,0.575841716,-0.085714286,-0.37610716,9,1
5.384477691,0.40742729,-0.085714286,0.030260449,10,1
13.85571362,0.490313053,-0.085714286,0.104353985,11,1
12.94906946,0.537322046,-0.085714286,0.138969263,12,1
14.6388934,0.611331963,-0.085714286,-0.152173471,13,1
26.69493585,0.673126904,-0.085714286,-0.201876111,14,1
11.78433706,0.556289612,-0.085714286,-0.219813961,15,1
19.70505519,0.641238002,-0.085714286,0.056352968,16,1
11.8751,0.626131353,-0.085714286,0.327816172,17,1
28.13248656,0.749593007,-0.085714286,-0.315072859,18,1
19.17028951,0.687071545,-0.085714286,-0.226736799,19,1
18.05889255,0.701857403,-0.085714286,0.174920113,20,1
22.82311986,0.583619775,-0.085714286,-0.055581466,21,1
13.72706815,0.821347455,-0.085714286,-0.018179249,22,1
13.78956127,0.786912524,-0.085714286,0.396588657,23,1
14.06999645,0.747793137,-0.085714286,0.101868898,24,1
14.5824415,0.736674331,-0.085714286,0.226905614,25,1
13.73901743,0.706946798,-0.085714286,0.080377185,26,1
11.46471543,0.655251222,-0.085714286,0.175132282,27,1
17.28428766,0.701578218,-0.085714286,-0.092718812,28,1
18.32349312,0.653661959,-0.085714286,0.010079292,29,1
21.98468103,0.628077037,-0.085714286,0.032832874,30,1
15.03125078,0.579385386,-0.085714286,0.100955605,31,1
20.58880764,0.609882033,-0.085714286,0.092996765,32,1
23.51642617,0.690457029,-0.085714286,-0.046869256,33,1
15.21474285,0.615322777,-0.085714286,0.117478829,34,1
12.13202374,0.535740771,-0.085714286,0.063160088,35,1
11.05024887,0.478426163,-0.085714286,0.141198437,36,1
15.76713037,0.71960709,-0.085714286,-0.352141716,37,1
18.85462808,0.74879537,-0.085714286,-0.435344298,38,1
20.08527819,0.78463052,-0.085714286,0.433379714,39,1
31.14972873,0.881643767,-0.085714286,-0.553437866,40,1
45.80951866,0.749032421,-0.085714286,-0.625489904,41,1
27.48832479,0.71950366,-0.085714286,-0.262451064,42,1
28.53307554,0.742325554,-0.085714286,-0.304722048,43,1
25.94779759,0.713042451,-0.085714286,-0.428875972,44,1
23.46418974,0.947751725,-0.085714286,-0.105241991,45,1
23.96143568,0.875862848,-0.085714286,0.059119196,46,1
16.07843276,0.758358814,-0.085714286,0.28315261,47,1
19.79924999,0.767848303,-0.085714286,0.379741687,48,1
24.04646752,0.831296829,-0.085714286,0.051455923,49,1
25.26699032,0.801784194,-0.085714286,0.204091338,50,1
25.23350154,0.720559043,-0.085714286,0.145727317,51,1
22.29418086,0.761189874,-0.028571429,-0.315072859,52,2
10.7940076,0.639363,-0.028571429,0.179895561,53,2
11.09797279,0.557727623,-0.028571429,-0.105241991,54,2
13.66525887,0.507435995,-0.028571429,0.471685753,55,2
14.92315315,0.577871611,-0.028571429,-0.065529269,56,2
10.08967789,0.739409521,-0.028571429,0.164157307,57,2
16.77331214,0.538954614,-0.028571429,0.393224514,58,2
23.22407156,0.479893693,-0.028571429,0.155513189,59,2
4.440472948,0.059049591,-0.028571429,0.076895605,60,2
6.454905112,0.228090223,-0.028571429,0.217741234,61,2
12.5299162,0.767106631,-0.142857143,-0.435344298,62,3
4.201785335,0.713079069,-0.142857143,0.433379714,63,3
5.892495227,0.752070725,-0.142857143,-0.342470476,64,3
